Chl_a,Depth (m),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm·cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3- -N),Nitrate(mV),External Voltage(V),BGA-PC (microg/L),bloomstatus
0.000159588,0.5,0.001,1.8107,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9674,30.7,762.75,0.557,0.4909,50000,-209.3855,15.372,51.18504737,0
0.00282007,0.5,0.001,1.7365,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9983,30.75,762.43,0.3918,0.4972,50000,-213.0447,15.3716,52.6685244,0
0,0.5,0.002,1.8514,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.922,30.83,762.46,0.5147,0.5035,50000,-210.8207,15.3728,48.95904615,0
0.001066305,0.5,0.001,1.7285,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0023,30.75,762.43,0.3994,0.5042,50000,-213.0255,15.3719,52.85989224,0
1.133275,0.5,0.003,1.9571,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9305,30.74,762.55,0.5564,0.5045,50000,-210.3098,15.3629,49.37951963,1
0.228457365,0.5,0.003,1.8357,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9005,30.67,762.41,0.4562,0.5105,50000,-214.9149,15.372,47.89234205,0
0.244008518,0.5,0.003,1.8392,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.8949,30.67,762.41,0.4442,0.5107,50000,-214.8971,15.372,47.61047636,0
0.259559671,0.5,0.003,1.8426,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.8893,30.67,762.41,0.4321,0.5109,50000,-214.8793,15.372,47.32780879,0
0,0.5,0.001,1.7205,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0063,30.75,762.43,0.4069,0.5112,50000,-213.0063,15.3721,53.05091623,0
0.003180915,0.5,0.001,1.7929,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9927,30.71,762.41,0.4462,0.5168,50000,-214.5133,15.3641,52.40255026,0
0.002302292,0.5,0,1.7877,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9921,30.71,762.41,0.4499,0.5192,50000,-214.5168,15.3638,52.37289591,0
0.001423669,0.5,0,1.7826,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9915,30.71,762.42,0.4536,0.5216,50000,-214.5203,15.3635,52.34323025,0
1.128007647,1,0.003,1.8816,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0425,30.91,762.45,1.0653,0.9503,50000,-210.5978,15.3642,54.75916354,1
1.973733529,1,0.003,1.8626,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0262,30.73,762.43,1.0632,0.9536,50000,-213.7122,15.3556,53.9944574,1
1.124712647,1,0,1.8473,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9813,30.72,762.42,1.0694,0.9583,50000,-214.6469,15.373,51.85477649,1
1.057865824,1,0,1.8484,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9814,30.72,762.42,1.0702,0.9587,50000,-214.5706,15.3733,51.86256785,1
0.991019059,1,0,1.8496,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9816,30.72,762.42,1.071,0.9591,50000,-214.4944,15.3737,51.8703567,0
0.1378662,1,0.002,1.7861,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9012,30.81,762.59,1.1774,0.9686,50000,-210.2056,15.3726,47.92331059,0
0.153635459,1,0.002,1.7884,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9072,30.81,762.59,1.19,0.9778,50000,-210.2432,15.3729,48.22520641,0
1.191610824,1,0.003,1.8828,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0456,30.91,762.45,1.105,0.9786,50000,-210.5656,15.3636,54.90454153,1
0.619890647,1,0.004,1.8408,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.9577,30.76,762.57,1.1832,0.9831,50000,-210.7088,15.3713,50.71261607,0
0.048985179,1,0.002,1.8396,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9701,30.72,762.43,1.1093,0.9843,50000,-213.1745,15.3867,51.31303209,0
0.274580618,1,0.003,1.7753,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0284,30.83,762.53,1.1444,0.9875,50000,-210.0234,15.3789,54.10130065,0
0,1,0.002,1.8338,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9685,30.72,762.43,1.1148,0.9882,50000,-213.1411,15.3883,51.23820998,0
1.084106118,1,0.003,1.8679,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.026,30.83,762.54,1.1502,0.9902,50000,-209.911,15.3726,53.98817387,1
0.918875294,1,0.003,1.7453,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.9772,30.77,762.43,1.1196,0.9917,50000,-212.6169,15.3723,51.6597704,0
0.840609471,1,0.005,1.7778,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9964,30.84,762.55,1.1536,0.9935,50000,-211.5078,15.3703,52.58104991,0
0.981006706,1,0.003,1.7375,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.978,30.77,762.44,1.1253,0.9956,50000,-212.557,15.3721,51.69575835,0
1.62415,1,0.005,1.7874,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0246,30.83,762.55,1.161,0.9973,50000,-210.2507,15.372,53.91852057,1
1.054680824,1,0.003,1.8642,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0258,30.83,762.54,1.1612,0.9993,50000,-209.9344,15.3726,53.97857802,1
